name,asset_type_name,description
Category 4458,Operating assets,Description for category 4458
Category 4459,Intangible assets,Description for category 4459
Category 4460,Operating assets,Description for category 4460
Category 4461,Operating assets,Description for category 4461
Category 4462,Intangible assets,Description for category 4462
Category 4463,Operating assets,Description for category 4463
Category 4464,Intangible assets,Description for category 4464
Category 4465,Operating assets,Description for category 4465
Category 4466,Operating assets,Description for category 4466
Category 4467,Operating assets,Description for category 4467
Category 4468,Intangible assets,Description for category 4468
Category 4469,Operating assets,Description for category 4469
Category 4470,Tangible assets,Description for category 4470
Category 4471,Operating assets,Description for category 4471
Category 4472,Operating assets,Description for category 4472
Category 4473,Operating assets,Description for category 4473
Category 4474,Intangible assets,Description for category 4474
Category 4475,Tangible assets,Description for category 4475
Category 4476,Operating assets,Description for category 4476
Category 4477,Tangible assets,Description for category 4477
Category 4478,Tangible assets,Description for category 4478
Category 4479,Intangible assets,Description for category 4479
Category 4480,Intangible assets,Description for category 4480
Category 4481,Operating assets,Description for category 4481
Category 4482,Intangible assets,Description for category 4482
Category 4483,Intangible assets,Description for category 4483
Category 4484,Operating assets,Description for category 4484
Category 4485,Operating assets,Description for category 4485
Category 4486,Tangible assets,Description for category 4486
Category 4487,Intangible assets,Description for category 4487
Category 4488,Tangible assets,Description for category 4488
Category 4489,Operating assets,Description for category 4489
Category 4490,Tangible assets,Description for category 4490
Category 4491,Intangible assets,Description for category 4491
Category 4492,Intangible assets,Description for category 4492
Category 4493,Operating assets,Description for category 4493
Category 4494,Operating assets,Description for category 4494
Category 4495,Operating assets,Description for category 4495
Category 4496,Intangible assets,Description for category 4496
Category 4497,Tangible assets,Description for category 4497
Category 4498,Operating assets,Description for category 4498
Category 4499,Intangible assets,Description for category 4499
Category 4500,Tangible assets,Description for category 4500
Category 4501,Operating assets,Description for category 4501
Category 4502,Intangible assets,Description for category 4502
Category 4503,Intangible assets,Description for category 4503
Category 4504,Operating assets,Description for category 4504
Category 4505,Operating assets,Description for category 4505
Category 4506,Operating assets,Description for category 4506
